sequence_id,sequence_label,adc_samples,tool_key,tool_label,run,total_ms,total_seconds,median_seconds,q1_seconds,q3_seconds,status,error_type,error_message
writeFastRadialGradientEcho,writeFastRadialGradientEcho,122880,pypulseq,PyPulseq,4,1337.4275830574334,1.3374275830574334,1.388846458401531,1.343354457989335,1.4296396248973906,complete,,
writeFastRadialGradientEcho,writeFastRadialGradientEcho,122880,pypulseq,PyPulseq,5,1429.6396248973906,1.4296396248973906,1.388846458401531,1.343354457989335,1.4296396248973906,complete,,
writeFastRadialGradientEcho_rot3D,3D radial GRE,122880,seqeyes,SeqEyes-Plus,1,207.2000002861023,0.2072000002861023,0.21460000038146973,0.2072000002861023,0.21770000028610229,complete,,
writeFastRadialGradientEcho_rot3D,3D radial GRE,122880,seqeyes,SeqEyes-Plus,2,206.99999952316284,0.20699999952316284,0.21460000038146973,0.2072000002861023,0.21770000028610229,complete,,
writeFastRadialGradientEcho_rot3D,3D radial GRE,122880,seqeyes,SeqEyes-Plus,3,217.7000002861023,0.21770000028610229,0.21460000038146973,0.2072000002861023,0.21770000028610229,complete,,
writeFastRadialGradientEcho_rot3D,3D radial GRE,122880,seqeyes,SeqEyes-Plus,4,214.60000038146973,0.21460000038146973,0.21460000038146973,0.2072000002861023,0.21770000028610229,complete,,
writeFastRadialGradientEcho_rot3D,3D radial GRE,122880,seqeyes,SeqEyes-Plus,5,233.5,0.2335,0.21460000038146973,0.2072000002861023,0.21770000028610229,complete,,
writeFastRadialGradientEcho_rot3D,3D radial GRE,122880,matlab,Pulseq MATLAB,1,2355.6445416666666,2.3556445416666665,2.135361,2.1188087916666665,2.1452965416666667,complete,,
writeFastRadialGradientEcho_rot3D,3D radial GRE,122880,matlab,Pulseq MATLAB,2,2118.8087916666664,2.1188087916666665,2.135361,2.1188087916666665,2.1452965416666667,complete,,
writeFastRadialGradientEcho_rot3D,3D radial GRE,122880,matlab,Pulseq MATLAB,3,2145.2965416666666,2.1452965416666667,2.135361,2.1188087916666665,2.1452965416666667,complete,,
writeFastRadialGradientEcho_rot3D,3D radial GRE,122880,matlab,Pulseq MATLAB,4,2135.361,2.135361,2.135361,2.1188087916666665,2.1452965416666667,complete,,
writeFastRadialGradientEcho_rot3D,3D radial GRE,122880,matlab,Pulseq MATLAB,5,2087.2327083333334,2.0872327083333335,2.135361,2.1188087916666665,2.1452965416666667,complete,,
writeFastRadialGradientEcho_rot3D,3D radial GRE,122880,pypulseq,PyPulseq,1,1495.4088339582086,1.4954088339582086,1.4415190410800278,1.4185681669041514,1.4464641246013343,complete,,
